"","X","word","score","prior","likelihood","pword","posterior"
"1",44,"mouth",2.34,0.0271479861895754,1,0.0271479861895754,0.0825540495148082
"2",34,"heart",2.36,0.0269179185100027,1,0.0269179185100027,0.0818544389256996
"3",11,"brain",2.9,0.0219056164426229,1,0.0219056164426229,0.0666125778843625
"4",16,"chest",2.92,0.0217555779738378,1,0.0217555779738378,0.0661563273509079
"5",20,"elbow",2.96,0.021461583676894,1,0.021461583676894,0.0652623229272468
"6",1,"ankle",3.16,0.020103255596078,1,0.020103255596078,0.0611317961596998
"7",66,"tooth",3.44,0.0184669440940716,1,0.0184669440940716,0.0561559522862357
"8",43,"lungs",3.46,0.0183601987524874,1,0.0183601987524874,0.0558313514059686
"9",41,"liver",3.88,0.0163727545576305,1,0.0163727545576305,0.049787751511508
"10",68,"trunk",4.36,0.0145702494687171,1,0.0145702494687171,0.0443065311616174
"11",7,"belly",7,0.00907518395480091,1,0.00907518395480091,0.0275966394092359
"12",8,"blood",7,0.00907518395480091,1,0.00907518395480091,0.0275966394092359
"13",10,"bones",7,0.00907518395480091,1,0.00907518395480091,0.0275966394092359
"14",15,"cheek",7,0.00907518395480091,1,0.00907518395480091,0.0275966394092359
"15",50,"penis",7,0.00907518395480091,1,0.00907518395480091,0.0275966394092359
"16",51,"scalp",7,0.00907518395480091,1,0.00907518395480091,0.0275966394092359
"17",56,"skull",7,0.00907518395480091,1,0.00907518395480091,0.0275966394092359
"18",57,"spine",7,0.00907518395480091,1,0.00907518395480091,0.0275966394092359
"19",60,"thigh",7,0.00907518395480091,1,0.00907518395480091,0.0275966394092359
"20",62,"thumb",7,0.00907518395480091,1,0.00907518395480091,0.0275966394092359
"21",67,"torso",7,0.00907518395480091,1,0.00907518395480091,0.0275966394092359
"22",71,"waist",7,0.00907518395480091,1,0.00907518395480091,0.0275966394092359
"23",72,"wrist",7,0.00907518395480091,1,0.00907518395480091,0.0275966394092359
"24",31,"hands",100,0.000635262876836064,1,0.000635262876836064,0.00193176475864651
"25",33,"heads",100,0.000635262876836064,1,0.000635262876836064,0.00193176475864651
"26",37,"knees",100,0.000635262876836064,1,0.000635262876836064,0.00193176475864651
"27",46,"nails",100,0.000635262876836064,1,0.000635262876836064,0.00193176475864651
"28",59,"teeth",100,0.000635262876836064,1,0.000635262876836064,0.00193176475864651
"29",70,"veins",100,0.000635262876836064,1,0.000635262876836064,0.00193176475864651
