"","X","word","views","prior","likelihood","pword","posterior"
"1",17,"kanye west",8123621,0.00140168201842211,1,0.00140168201842211,0.0445151033386329
"2",32,"steve jobs",6727603,0.00140168201842211,1,0.00140168201842211,0.0445151033386329
"3",40,"elton john",6355813,0.00140168201842211,1,0.00140168201842211,0.0445151033386329
"4",86,"snoop dogg",4819041,0.00140168201842211,1,0.00140168201842211,0.0445151033386329
"5",100,"larry king",4563370,0.00140168201842211,1,0.00140168201842211,0.0445151033386329
"6",156,"usain bolt",3828926,0.000700841009211053,1,0.000700841009211053,0.0222575516693164
"7",253,"jamie foxx",3011906,0.000467227339474035,1,0.000467227339474035,0.0148383677795442
"8",295,"chris pine",2722201,0.000467227339474035,1,0.000467227339474035,0.0148383677795442
"9",316,"roald dahl",2611440,0.000350420504605527,1,0.000350420504605527,0.0111287758346582
"10",324,"james bond",2588923,0.000350420504605527,1,0.000350420504605527,0.0111287758346582
"11",344,"diana ross",2516188,0.000350420504605527,1,0.000350420504605527,0.0111287758346582
"12",424,"barry gibb",2207173,0.000280336403684421,1,0.000280336403684421,0.00890302066772654
"13",434,"diane lane",2187038,0.000280336403684421,1,0.000280336403684421,0.00890302066772654
"14",471,"james dean",2081188,0.000280336403684421,1,0.000280336403684421,0.00890302066772654
"15",477,"helen hunt",2064408,0.000280336403684421,1,0.000280336403684421,0.00890302066772654
"16",489,"billy joel",2020899,0.000280336403684421,1,0.000280336403684421,0.00890302066772654
"17",514,"wyatt earp",1957404,0.000233613669737018,1,0.000233613669737018,0.00741918388977213
"18",528,"heidi klum",1915800,0.000233613669737018,1,0.000233613669737018,0.00741918388977213
"19",572,"larry bird",1815833,0.000233613669737018,1,0.000233613669737018,0.00741918388977213
"20",593,"james hunt",1750060,0.000233613669737018,1,0.000233613669737018,0.00741918388977213
"21",596,"james caan",1748093,0.000233613669737018,1,0.000233613669737018,0.00741918388977213
"22",618,"aaron burr",1682537,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"23",628,"chris rock",1670060,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"24",632,"diana rigg",1665887,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"25",651,"robin gibb",1633921,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"26",666,"henry ford",1608832,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
"27",689,"steve nash",1578888,0.000200240288346015,1,0.000200240288346015,0.00635930047694753
