"","X","word","score","invscore","prior","likelihood","pword","posterior"
"1",22,"banana",1.7,0.588235294,0.019126538,1,0.019126538,0.804597713721198
"2",200,"papaya",7,0.142857143,0.004645016,1,0.004645016,0.195402286278802
