"","X","word","prior","likelihood","pword","posterior"
"1",12,"eleven",0.00943396226415094,1,0.00943396226415094,0.142857142857143
"2",13,"twelve",0.00943396226415094,1,0.00943396226415094,0.142857142857143
"3",21,"twenty",0.00943396226415094,1,0.00943396226415094,0.142857142857143
"4",31,"thirty",0.00943396226415094,1,0.00943396226415094,0.142857142857143
"5",81,"eighty",0.00943396226415094,1,0.00943396226415094,0.142857142857143
"6",91,"ninety",0.00943396226415094,1,0.00943396226415094,0.142857142857143
"7",106,"googol",0.00943396226415094,1,0.00943396226415094,0.142857142857143
