word,score
california,1.34
texas,2.3
new york,2.36
florida,2.38
colorado,2.64
oregon,2.72
pennsylvania,2.82
washington,2.86
hawaii,2.9
virginia,2.94
ohio,3.12
massachusetts,3.18
michigan,3.22
maryland,3.3
alaska,3.34
vermont,3.5
new hampshire,3.52
new jersey,3.52
illinois,3.54
south carolina,3.6
maine ,3.62
indiana,3.62
north carolina,3.68
mississippi,3.68
georgia,3.7
alabama,3.78
iowa,3.94
wisconsin,4.06
new mexico,4.14
delaware,4.28
