,word,score,invscore,prior
157,longans,100,0.01,0.000325151
158,loquat,7,0.142857143,0.004645016
159,loquats,100,0.01,0.000325151
160,lulo,7,0.142857143,0.004645016
161,lulos,100,0.01,0.000325151
162,lychee,7,0.142857143,0.004645016
163,lychees,100,0.01,0.000325151
164,magellan barberries,100,0.01,0.000325151
165,magellan barberry,7,0.142857143,0.004645016
166,mamey apple,7,0.142857143,0.004645016
167,mamey apples,100,0.01,0.000325151
168,mamey sapote,7,0.142857143,0.004645016
169,mamey sapotes,100,0.01,0.000325151
170,mandarine,7,0.142857143,0.004645016
171,mandarines,100,0.01,0.000325151
172,mango,3.74,0.267379679,0.008693881
173,mangos,100,0.01,0.000325151
174,mangosteen,7,0.142857143,0.004645016
175,mangosteens,100,0.01,0.000325151
176,marionberries,100,0.01,0.000325151
177,marionberry,7,0.142857143,0.004645016
178,melon,2.8,0.357142857,0.011612541
179,melons,100,0.01,0.000325151
180,miracle fruit,7,0.142857143,0.004645016
181,miracle fruits,100,0.01,0.000325151
182,momordica fruit,7,0.142857143,0.004645016
183,momordica fruits,100,0.01,0.000325151
184,monstera deliciosa,7,0.142857143,0.004645016
185,monstera deliciosas,100,0.01,0.000325151
186,mouse melon,7,0.142857143,0.004645016
187,mouse melons,100,0.01,0.000325151
188,mulberry,7,0.142857143,0.004645016
189,mulberrys,100,0.01,0.000325151
190,musk melon,7,0.142857143,0.004645016
191,musk melons,100,0.01,0.000325151
192,nance,7,0.142857143,0.004645016
193,nances,100,0.01,0.000325151
194,nectarine,2.32,0.431034483,0.014015135
195,nectarines,100,0.01,0.000325151
196,olive,7,0.142857143,0.004645016
197,olives,100,0.01,0.000325151
198,orange,1.14,0.877192982,0.02852203
199,oranges,100,0.01,0.000325151
200,papaya,7,0.142857143,0.004645016
201,papayas,100,0.01,0.000325151
202,passionfruit,7,0.142857143,0.004645016
203,passionfruits,100,0.01,0.000325151
204,pawpaw,7,0.142857143,0.004645016
205,pawpaws,100,0.01,0.000325151
206,pea,7,0.142857143,0.004645016
207,peach,1.86,0.537634409,0.017481244
208,peaches,1000,0.001,3.25E-05
209,peachs,100,0.01,0.000325151
210,pear,1.64,0.609756098,0.019826289
211,pears,100,0.01,0.000325151
212,peas,100,0.01,0.000325151
213,persimmon,7,0.142857143,0.004645016
214,persimmons,100,0.01,0.000325151
215,pineapple,2.6,0.384615385,0.012505813
216,pineapples,100,0.01,0.000325151
217,pineberries,100,0.01,0.000325151
218,pineberry,7,0.142857143,0.004645016
219,pitaya,7,0.142857143,0.004645016
220,pitayas,100,0.01,0.000325151
221,plantain,7,0.142857143,0.004645016
222,plantains,100,0.01,0.000325151
223,plum,2.46,0.406504065,0.013217526
224,plumcot,7,0.142857143,0.004645016
225,plumcots,100,0.01,0.000325151
226,plums,100,0.01,0.000325151
227,pomegranate,4.72,0.211864407,0.006888795
228,pomegranates,100,0.01,0.000325151
229,pomelo,7,0.142857143,0.004645016
230,pomelos,100,0.01,0.000325151
231,prune,4.28,0.23364486,0.007596989
232,prunes,100,0.01,0.000325151
233,pumpkin,7,0.142857143,0.004645016
234,pumpkins,100,0.01,0.000325151
235,purple mangosteen,7,0.142857143,0.004645016
236,purple mangosteens,100,0.01,0.000325151
237,quince,7,0.142857143,0.004645016
238,quinces,100,0.01,0.000325151
239,raisin,4.22,0.236966825,0.007705003
240,raisins,100,0.01,0.000325151
241,rambutan,7,0.142857143,0.004645016
242,rambutans,100,0.01,0.000325151
243,raspberries,100,0.01,0.000325151
244,raspberry,2.78,0.35971223,0.011696084
245,redcurrant,7,0.142857143,0.004645016
