subj_id,PROLIFIC_PID,nonpretend,judge,pretend,points,bonus
158,5d9c67b131544d00101daef1,65,40,40,145,1
159,5c50c73cecd461000198fea1,47,30,20,97,0
160,5d6349209b22da000117b1bd,51,20,10,81,0
161,5edfb0770fb0722aa3839b6d,69,10,20,99,0
163,5dd72efa82569a6d38e06854,66,30,10,106,1
164,60885dc6571926117732b41e,67,40,40,147,1
165,5e78bf026d9a62443b9d5b74,56,10,20,86,0
166,5dec8925be656d35d4005320,69,20,10,99,0
167,610855e5402b0ab92c3a0759,56,30,0,86,0
168,5c0727ff1d461400012b61ee,70,20,0,90,0
169,5ba064c10d4416000157a224,49,30,NA,NA,NA
171,60e5eceb989f38c746723024,65,30,20,115,1
174,62bb31196b1faed16b34e914,67,20,0,87,0
175,5dcf4136cf8e7e086ea019e4,64,20,20,104,1
176,5b975addbb32a6000182d3e2,56,0,30,86,0
178,62b060e7ab53ddb4dc2b7eca,67,30,NA,NA,NA
179,5dbb9407e0a6e81863526af7,54,30,30,114,1
180,61081e56eef3ebeb3f9e684c,62,30,10,102,1
181,60fda8f418c64ff072d22378,66,20,30,116,1
182,5c3d07a85a994b0001c10bb2,60,40,20,120,1
183,5fc29e457497e203c3af6bb9,64,20,10,94,0
185,5f038dc85819b15b08840dfd,52,20,10,82,0
186,5f0d2ad60ad0d6730c380b05,65,20,NA,NA,NA
187,611b09935cd6e67f2b5e9ea2,65,40,NA,NA,NA
188,5a9f566d777df2000160326c,65,30,30,125,1
189,5bf408f7f35e0c000101693a,63,40,10,113,1
190,5ee232f2b970662cfa352567,65,20,10,95,0
191,623534a4823206b94cd659b3,48,20,10,78,0
192,607226ef2df05dd596a390f2,69,30,0,99,0
193,61664d58d18ca2325a81008e,64,10,10,84,0
195,5d41df0ca7b5800001a0341a,56,20,20,96,0
197,5fc6e3a0040c3f0e7cb45c8a,67,40,10,117,1
198,614c1267826bcb89bd92e726,74,20,10,104,1
199,629fa760fe340707d1dfd548,68,10,0,78,0
200,5f6e2f793c9b1032dbe72def,56,30,10,96,0
202,5c1021a547d07800011a23de,65,30,20,115,1
203,6029acb673830e93bcc9230f,59,20,0,79,0
204,6266b4ea9408fc167507d923,67,20,NA,NA,NA
205,5b6259be5256470001bd0c6d,47,20,20,87,0
206,5d4254db5b2c430001418a3c,44,30,20,94,0
208,601fc50f4b7f33504a02cd52,66,20,NA,NA,NA
209,5c3c7913b4f22c0001a0809c,69,30,10,109,1
211,5eceed79840590300f53fa51,64,20,30,114,1
212,627e6d46440b9a1d01fb1d32,72,40,10,122,1
