subj_id,PROLIFIC_PID,nonpretend,judge,pretend,points,bonus
462,5d3a3fb79f1307000130bc0d,70,30,NA,NA,NA
463,62728f0c68b9ecf571a2dbd4,56,80,NA,NA,NA
463,62b0ff84054c6ca32f481c65,52,80,NA,NA,NA
465,6025b3681ff1521a3369dffe,54,30,20,104,1
467,5fc1fd0f60e49e305afcc6a5,72,40,NA,NA,NA
468,62a8dffe33241f48b53d95c9,48,30,10,88,0
469,6229dbd104c9cf8c397853cb,60,30,NA,NA,NA
470,57587b29713d8400061730e4,60,50,20,130,1
471,5ee4b29de1640f1bc85da97b,68,30,10,108,1
471,5d51ffd641a6aa0019ca73df,67,30,10,107,1
472,5bac1d9dc1155b0001175e55,68,20,NA,NA,NA
473,5dfd077e3690bd03bfa91d48,50,20,NA,NA,NA
474,5c9c3ae2d40ce20014233de6,61,20,10,91,0
475,628494ff07588fd08c37117b,65,60,NA,NA,NA
475,6108295fdd0270d7544b5a8a,69,60,NA,NA,NA
476,5cbe04b4f429ff00159de30e,64,30,NA,NA,NA
477,6272eccadd98507271a651c7,31,40,0,71,0
478,5f0a7dec44c42c19a6c9f6d9,66,20,NA,NA,NA
479,612eac9f6c232dc7efccc967,50,30,10,90,0
480,5fadd628cd4e9e1c42dab969,54,10,20,84,0
482,59ff81fd5d06850001afeeab,30,50,10,90,0
482,614ee5e28a2f0a07d4d639dd,0,50,10,60,0
483,6163d3ea0d13c617bb46c99b,54,10,10,74,0
484,6108d6efa698e3dbe3b313d3,44,20,30,94,0
485,62bdad093f129a724c4dd7b2,42,30,40,112,1
486,6110b8870ffa743ef020621c,62,30,20,112,1
487,58fd1e751178370001dd35bb,65,20,20,105,1
488,62c6bffe9a805081f9569293,62,10,0,72,0
490,5d88f2f8cefb52001a83f1b2,69,10,10,89,0
492,610272b792467ffae049b859,61,20,0,81,0
493,559385f5fdf99b78e49c58e9,69,30,0,99,0
494,5f58fbdfd613220ce947d61a,69,30,NA,NA,NA
495,612274842d4805447451f87b,69,30,20,119,1
496,5a8c2da3eea3d300016ea27c,62,30,20,112,1
497,5b25e250a7cee100011d91fc,57,40,0,97,0
498,57f2da5c6c19420001438d19,65,20,10,95,0
499,5beccd423b6489000156596f,50,20,NA,NA,NA
500,60e792f25e9ab875f9605cf5,67,40,0,107,1
501,5e861812b23b0a22ef59c4ee,63,30,20,113,1
503,5e7aca7dc679490b709c855c,57,20,20,97,0
505,60ff3fd06ea4b3be502c9d5b,63,20,10,93,0
506,59296fb2e8a7ff000163f033,71,40,0,111,1
507,62897d2024f826ea90b7efa1,59,40,0,99,0
509,629a87179882a45bdf017f24,57,20,20,97,0
511,5de7ccc24b7cf973d7b05bfb,53,20,30,103,1
512,5f244e0d0d7f44018faa3938,68,10,NA,NA,NA
514,5d8793d36c53380015139da9,62,10,10,82,0
516,62bdfe451d380bec13a4a864,69,30,30,129,1
517,5f1091aa4bd173363a9700ec,66,30,10,106,1
518,5e059d2bb1fb05fd1f841142,69,30,NA,NA,NA
519,62348f3b53e65a4bfb7acd8b,68,40,20,128,1
519,607db957e9d570c7c2657b8d,67,40,20,127,1
520,5f8461c7c4a37809c686303d,60,40,20,120,1
521,62a889993e01c9e01ee7066e,72,40,NA,NA,NA
522,57bfc1beef05670001ee84c2,66,20,20,106,1
523,603e370c5ed1c2db2c3bde24,56,30,0,86,0
525,580d5d1f357e890001dd14ce,50,30,NA,NA,NA
526,5e8b89d0afcb1606e761ef7f,73,30,30,133,1
528,614fd56753386a7c522d5feb,64,20,20,104,1
530,629e241d171ec6698e05f149,44,10,0,54,0
532,5edd7f96ca05b8a8b4eebeb4,65,20,30,115,1
534,5bbd033261968f0001f02bac,70,30,20,120,1
535,62914a626c466a73029168fc,44,10,20,74,0
536,627e807715abf2361938fd68,59,20,20,99,0
537,56b4b565b2de2a000d3316ba,56,50,0,106,1
538,5484fd09fdf99b38dfb9645c,58,90,30,178,1
538,596bac33670f410001fe9c07,29,90,30,149,1
539,61096b18dc10f2a5fb0db48b,47,40,0,87,0
540,5b82247316aa4400016aa924,55,40,0,95,0
541,5608a73fd7def20012b7389d,67,30,0,97,0
542,5ea77b0161f86b151f475c8f,62,10,NA,NA,NA
543,5ff94e71c59814230b0fb713,61,20,20,101,1
544,5e8cf14c0bec230b335e060d,63,20,10,93,0
545,58742bf5d53c97000159df8c,60,20,20,100,1
547,5ef246c6d2b9060809858e7e,49,10,20,79,0
549,5ec403bb09d0e02a060bd5e6,66,20,20,106,1
550,623519c893eaebfcb0046e26,67,40,0,107,1
551,5dfdc45e617219a8e2e05c26,63,30,10,103,1
552,60721a45b75cb8f4b00abd05,47,20,20,87,0
553,6117ae23774b3ff0f9e08052,64,10,20,94,0
554,5f4e8db327d2a0098ef31aab,47,10,20,77,0
554,60fdbd971aab70ac228ed016,62,10,20,92,0
555,58a43e029a17120001d910d5,73,10,10,93,0
556,62b9ab36ca3531cd0b400cb5,60,60,20,140,1
556,5fb7dd473afbb1033b491811,53,60,20,133,1
557,6276d97e209059496d37bf74,66,30,20,116,1
558,623a3d1b72cde1824ccbc6d1,62,30,0,92,0
559,62c4594a1393963551a572bb,53,0,10,63,0
560,5c4ea6cc889752000156dd8e,70,30,10,110,1
561,581649f0b434f0000184d2a9,67,30,0,97,0
