session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
62c6f66a0232f7c60b24a960,6110b8870ffa743ef020621c,APPROVED,2022-07-07 15:06:23.538000,2022-07-07 15:31:43.867000,1520.329,21,59,2,97,2022-07-09 17:27:48.316000,NOCODE,United States,United States,Unemployed (and job seeking),English,United States,Female,Yes
62c7007bbcbc8ebafb3a8fb7,58fd1e751178370001dd35bb,APPROVED,2022-07-07 15:49:25.226000,2022-07-07 16:06:32.644000,1027.418,48,1265,0,100,2022-07-09 17:27:48.372000,49E292D8,United States,United States,Full-Time,English,United States,Female,Yes
62c70510bc781da5e3e5a8fb,62c6bffe9a805081f9569293,APPROVED,2022-07-07 16:08:56.817000,2022-07-07 16:29:04.094000,1207.277,59,9,0,100,2022-07-09 17:27:48.426000,49E292D8,United States,United States,DATA EXPIRED,English,United States,Female,No
62c70516d3fc1285cde77691,5d88f2f8cefb52001a83f1b2,APPROVED,2022-07-07 16:09:05.491000,2022-07-07 16:25:42.288000,996.797,55,1681,5,100,2022-07-09 17:27:48.474000,49E292D8,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
62c7051e4ac80b42a4b73176,5a348ea750833c0001ee9550,RETURNED,2022-07-07 16:09:08.722000,,266552.174773,34,1253,4,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c7074540bac42864c76755,610272b792467ffae049b859,APPROVED,2022-07-07 16:18:20.369000,2022-07-07 16:39:18.175000,1257.806,45,459,6,98,2022-07-09 17:27:48.528000,49E292D8,United States,United States,Full-Time,English,United States,Female,No
62c716cc3b438aa424fcf666,559385f5fdf99b78e49c58e9,APPROVED,2022-07-07 17:24:31.022000,2022-07-07 17:38:28.532000,837.51,35,841,0,100,2022-07-09 17:27:48.582000,49E292D8,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
62c716d2362f2db2f6323955,5f58fbdfd613220ce947d61a,APPROVED,2022-07-07 17:24:37.205000,2022-07-07 17:47:50.910000,1393.705,41,1538,2,100,2022-07-09 17:27:48.632000,49E292D8,United States,United States,Other,English,United States,Female,No
62c716e51ed1081d99607919,5b25e250a7cee100011d91fc,APPROVED,2022-07-07 17:29:34.862000,2022-07-07 17:50:09.228000,1234.366,28,1398,2,100,2022-07-09 17:27:48.683000,49E292D8,United States,United States,DATA EXPIRED,English,United States,Male,No
62c716ee99dbd75744f69b60,5a8c2da3eea3d300016ea27c,APPROVED,2022-07-07 17:26:14.085000,2022-07-07 17:46:05.965000,1191.88,55,2066,5,100,2022-07-09 17:27:48.731000,49E292D8,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
62c716f7fe835ec170d402a7,612274842d4805447451f87b,APPROVED,2022-07-07 17:25:17.873000,2022-07-07 17:47:17.924000,1320.051,27,447,2,100,2022-07-09 17:27:48.781000,49E292D8,United States,United States,Unemployed (and job seeking),English,United States,Female,Yes
62c71e70397e5a1ef8797eba,57f2da5c6c19420001438d19,APPROVED,2022-07-07 17:57:10.950000,2022-07-07 18:15:35.408000,1104.458,46,2318,0,100,2022-07-09 17:27:48.832000,49E292D8,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
62c71e73aae5a0c8c43a8fa4,60fd84bd019682124d96c178,TIMED-OUT,2022-07-07 17:57:09.369000,,260071.816764,49,1345,5,100,,,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
62c71e752b5e1d127f15d1a8,5e861812b23b0a22ef59c4ee,APPROVED,2022-07-07 17:57:23.783000,2022-07-07 18:11:05.622000,821.839,31,1303,3,100,2022-07-09 17:27:48.886000,49E292D8,United States,United States,DATA EXPIRED,English,United States,Female,No
62c71e792472355927806583,5beccd423b6489000156596f,APPROVED,2022-07-07 17:57:15.884000,2022-07-07 18:26:57.457000,1781.573,39,1664,0,100,2022-07-09 17:27:48.938000,49E292D8,United States,United States,Part-Time,English,United States,Female,No
62c71e7ba08dd8690c553dba,60e792f25e9ab875f9605cf5,APPROVED,2022-07-07 17:57:15.623000,2022-07-07 18:09:34.360000,738.737,37,1165,1,100,2022-07-09 17:27:48.991000,49E292D8,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
62c730c492bd2a21ba463718,5dcc3ec7db13278d75c8622f,RETURNED,2022-07-07 19:15:24.118000,,255377.112711,37,214,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c7338c325f50fb1ae776b2,5e7aca7dc679490b709c855c,APPROVED,2022-07-07 19:27:09.878000,2022-07-07 19:40:34.389000,804.511,34,1547,12,99,2022-07-09 17:27:49.044000,49E292D8,United States,United States,Part-Time,English,United States,Female,No
62c73e57d725440d8461f3f9,6054e1ddb68b58dd23242765,RETURNED,2022-07-07 20:13:13.420000,,251907.831927,35,1456,8,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c73e5811fcb7c16bc637b9,606a3cf263a18869ac8ee0ed,RETURNED,2022-07-07 20:15:28.464000,,251772.801063,56,1602,10,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c73e5a5156d10a35607934,60ff3fd06ea4b3be502c9d5b,APPROVED,2022-07-07 20:13:16.838000,2022-07-07 20:32:05.582000,1128.744,34,197,1,100,2022-07-09 17:27:49.104000,49E292D8,United States,United States,Full-Time,English,United States,Female,No
62c73e5be6519d8da7463720,59296fb2e8a7ff000163f033,APPROVED,2022-07-07 20:13:19.587000,2022-07-07 20:28:13.101000,893.514,38,3700,14,99,2022-07-09 17:27:49.160000,49E292D8,United States,United States,Full-Time,English,United States,Male,No
62c73e5c1a9b62a049f69b5b,629a87179882a45bdf017f24,APPROVED,2022-07-07 20:13:20.042000,2022-07-07 20:42:29.476000,1749.434,26,76,0,100,2022-07-09 17:27:49.214000,49E292D8,United States,United States,Full-Time,English,United States,Male,No
62c73e7dc7e761d2f5797eac,62897d2024f826ea90b7efa1,APPROVED,2022-07-07 20:13:58.922000,2022-07-07 20:32:45.433000,1126.511,69,393,2,100,2022-07-09 17:27:49.271000,49E292D8,United States,United States,Part-Time,English,United States,Female,No
62c74173473dc6517da4f223,5de7ccc24b7cf973d7b05bfb,APPROVED,2022-07-07 20:26:33.037000,2022-07-07 20:58:57.732000,1944.695,30,1630,5,100,2022-07-09 17:27:49.327000,49E292D8,United States,United States,Full-Time,English,United States,Male,No
62c74c36742a3d51c93a8fb4,5f244e0d0d7f44018faa3938,APPROVED,2022-07-07 21:12:26.658000,2022-07-07 21:58:38.657000,2771.999,34,1882,7,100,2022-07-09 17:27:49.379000,49E292D8,United States,United States,Full-Time,English,United States,Female,No
62c74c38f7698b42a6f663ad,62bdfe451d380bec13a4a864,APPROVED,2022-07-07 21:12:31.148000,2022-07-07 21:27:39.537000,908.389,25,67,0,100,2022-07-09 17:27:49.437000,49E292D8,United States,United States,Part-Time,English,United States,Female,Yes
62c74c39b11453cb14d402b9,5f1091aa4bd173363a9700ec,APPROVED,2022-07-07 21:12:28.099000,2022-07-07 21:58:04.148000,2736.049,27,1633,2,100,2022-07-09 17:27:49.491000,49E292D8,United States,United States,Full-Time,English,United States,Male,Yes
62c74c3aa129d45fbc4d9138,5d8793d36c53380015139da9,APPROVED,2022-07-07 21:12:30.291000,2022-07-07 21:31:16.023000,1125.732,24,301,0,100,2022-07-09 17:27:49.547000,49E292D8,United States,United States,Unemployed (and job seeking),English,United States,Male,Yes
