session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
62c43d756ae70931af6393c1,5e6fd38fe95be7071b5196bf,RETURNED,2022-07-05 13:36:06.298000,,447669.234354,37,1969,24,97,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c43d76b8237979ac69a377,628e0d83c09e5a879c35c648,APPROVED,2022-07-05 13:32:46.909000,2022-07-05 13:46:28.461000,821.552,40,97,2,97,2022-07-05 21:29:53.755000,NOCODE,United States,United States,Full-Time,English,United States,Female,No
62c43d7b8c6f8c48b7d0b0b6,5d1aa9db716058001a060031,APPROVED,2022-07-05 13:32:48.076000,2022-07-05 13:45:40.454000,772.378,31,880,5,99,2022-07-05 21:29:53.844000,49E292D8,United States,United States,Other,English,United States,Male,No
62c43d7e19e4efaec1e3f6a5,6100c28ed43a1dea00f08633,APPROVED,2022-07-05 13:32:51.418000,2022-07-05 13:58:39.714000,1548.296,61,570,1,100,2022-07-05 21:29:53.938000,49E292D8,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
62c43d7e409766d92fc985e0,5ecff62cb1b0dc08775b33f4,APPROVED,2022-07-05 13:32:48.184000,2022-07-05 13:50:22.178000,1053.994,32,268,1,100,2022-07-05 21:29:54.022000,49E292D8,United States,United States,DATA EXPIRED,English,United States,Male,No
62c4456b760c44c307216f73,61506f90721dcdeca6e77c2d,APPROVED,2022-07-05 14:08:33.646000,2022-07-05 14:45:53.989000,2240.343,26,756,1,100,2022-07-05 21:29:54.119000,NOCODE,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
62c447276759e81c25470d98,62926f5a375553f13d68bc92,APPROVED,2022-07-05 14:14:54.545000,2022-07-05 14:33:37.820000,1123.275,58,117,0,100,2022-07-05 21:29:54.332000,49E292D8,United States,United States,DATA EXPIRED,English,United States,Male,No
62c4472fb75fe67716450b56,6143af8721d1445864c4f6c8,APPROVED,2022-07-05 14:14:11.010000,2022-07-05 14:35:42.830000,1291.82,50,1778,10,98,2022-07-05 21:29:54.419000,49E292D8,United States,United States,Unemployed (and job seeking),English,United States,Male,No
62c447319fb01a0d6d7d4f1b,60c80a0fb4b86678ad903cc1,APPROVED,2022-07-05 14:14:11.544000,2022-07-05 14:26:17.196000,725.652,41,563,1,100,2022-07-05 21:29:54.510000,49E292D8,United States,United States,Full-Time,English,United States,Male,No
62c4473212799ef4c1e37978,58064d91f25c440001678a10,APPROVED,2022-07-05 14:14:15.315000,2022-07-05 14:36:46.754000,1351.439,59,2799,1,100,2022-07-05 21:29:54.594000,49E292D8,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
62c447326b298ba842d8fe78,6111a8e5c22c39a1c92edb70,APPROVED,2022-07-05 14:14:25.803000,2022-07-05 14:35:11.822000,1246.019,40,818,9,98,2022-07-05 21:29:54.683000,49E292D8,United States,United States,Full-Time,English,United States,Male,No
62c44da85bdfa504e0823155,60fcc292d13ae9614d4a77a7,APPROVED,2022-07-05 14:41:49.932000,2022-07-05 14:57:50.365000,960.433,20,114,0,100,2022-07-05 21:29:54.925000,49E292D8,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,Yes
62c44da8acc988848c96ea07,6298fbc8e35ae6800ccb3128,APPROVED,2022-07-05 14:44:18.944000,2022-07-05 15:02:20.733000,1081.789,28,252,0,100,2022-07-05 21:29:55.023000,49E292D8,United States,United States,Full-Time,English,United States,Female,No
62c44da96d3d31136d0241c1,57864d24900cc80001d2de56,APPROVED,2022-07-05 14:42:22.932000,2022-07-05 14:57:05.185000,882.253,43,585,7,98,2022-07-05 21:29:55.114000,49E292D8,Guyana,United States,Full-Time,English,United States,Male,No
