session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
62c2d79445dec413d836b3d9,56f2a23eed0cf60006913151,APPROVED,2022-07-04 12:05:43.724000,2022-07-04 12:27:06.784000,1283.06,52,73,0,100,2022-07-04 12:54:07.411000,49E292D8,United States,United States,Full-Time,English,United States,Female,No
62c2e66ba42daba2a0fac30c,62bafaaf47d4f00f56347098,APPROVED,2022-07-04 13:09:03.466000,2022-07-04 13:36:28.314000,1644.848,40,38,0,100,2022-07-04 14:03:52.274000,49E292D8,United States,United States,DATA EXPIRED,English,United States,Male,No
62c2ecab18c9991080a75059,615064bfb9e0c46f6a9b91b1,APPROVED,2022-07-04 13:35:42.852000,2022-07-04 13:52:54.654000,1031.802,40,387,5,98,2022-07-04 14:03:51.434000,49E292D8,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
62c2efff230381df477a6939,5f7cfe8edd75001c4eb45861,APPROVED,2022-07-04 13:49:58.841000,2022-07-04 14:17:34.719000,1655.878,54,612,1,100,2022-07-04 21:17:08.642000,49E292D8,United States,United States,DATA EXPIRED,English,United States,Female,No
62c2f0049c2785a4a6a8c94c,5f0fd43f114b6a07e3c05d1b,APPROVED,2022-07-04 13:50:05.122000,2022-07-04 14:12:28.470000,1343.348,46,1521,6,100,2022-07-04 14:14:02.254000,49E292D8,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
62c2f5ccd444a774140d0479,5bbf523d83f9790001ce549a,APPROVED,2022-07-04 14:14:48.443000,2022-07-04 14:33:24.189000,1115.746,60,1761,2,100,2022-07-04 21:17:08.703000,49E292D8,United States,United States,Full-Time,English,United States,Female,No
62c2f5d7d99da2a9636196a5,6109cc26369b992ed06343b2,APPROVED,2022-07-04 14:14:50.014000,2022-07-04 14:43:18.896000,1708.882,26,136,1,100,2022-07-04 21:17:08.757000,NOCODE,United States,United States,DATA EXPIRED,English,United States,Female,No
62c2f5dd59248ff17c0c9252,61021b86628e0777c0c8c015,APPROVED,2022-07-04 14:14:55.648000,2022-07-04 14:40:57.684000,1562.036,27,615,0,100,2022-07-04 21:17:08.812000,49E292D8,United States,United States,Full-Time,English,United States,Male,No
62c2f5f059248ff17c0c9254,62b5e1d73e3c296905ba2738,APPROVED,2022-07-04 14:15:15.447000,2022-07-04 14:39:28.599000,1453.152,27,87,0,100,2022-07-04 21:17:08.876000,49E292D8,United States,United States,DATA EXPIRED,English,United States,Male,Yes
62c2f5fdd5f5b3f41936b3da,5f048fdc0aea5b0ae3215fc9,APPROVED,2022-07-04 14:16:22.770000,2022-07-04 14:49:29.205000,1986.435,65,1879,6,100,2022-07-04 21:17:08.928000,49E292D8,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
62c2fc474d07e9f13d3e5b7d,5f402eb4fbd8df145068b805,APPROVED,2022-07-04 14:42:20.349000,2022-07-04 15:06:16.780000,1436.431,61,2422,11,99,2022-07-04 21:17:08.981000,NOCODE,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
62c2fc4d185e60e04a5f2ae9,5dcea7314d51e4107516c80d,APPROVED,2022-07-04 14:42:26.922000,2022-07-04 15:05:31.347000,1384.425,53,2879,6,100,2022-07-04 21:17:09.034000,49E292D8,United States,United States,DATA EXPIRED,English,United States,Female,No
