session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
62c19b727abbd9e782308f5d,5bc0ac845a09ea00012e2d30,APPROVED,2022-07-03 13:36:57.011000,2022-07-03 13:53:39.341000,1002.33,35,1112,2,100,2022-07-03 13:54:43.795000,NOCODE,United States,United States,Part-Time,English,United States,Female,No
62c1a0260a7ac08807d9c6c2,6107d8ee8bd9a035d04f6d98,APPROVED,2022-07-03 13:56:59.339000,2022-07-03 14:21:47.683000,1488.344,55,492,1,100,2022-07-03 14:23:46.672000,49E292D8,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
62c1a0a07ba5fe4c8cdc0e34,5ef937f1ca998b000ca8c947,APPROVED,2022-07-03 13:58:58.454000,2022-07-03 14:15:59,1020.546,38,224,1,100,2022-07-03 14:23:46.598000,49E292D8,United States,United States,Part-Time,English,United States,Male,No
62c1a0a8220b411bed308f66,5f2ddb10a2052d12773e49ec,APPROVED,2022-07-03 13:59:07.804000,2022-07-03 14:13:20.855000,853.051,43,1762,9,99,2022-07-03 14:23:45.664000,49E292D8,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
62c1a110fdaa0256033ccd56,5f763e6e7632050c3712feac,APPROVED,2022-07-03 14:00:57.237000,2022-07-03 14:38:06.215000,2228.978,51,567,2,100,2022-07-03 14:41:55.499000,49E292D8,United States,United States,Full-Time,English,United States,Female,No
62c1a6e933b1e686ef5f18f6,5acd205ffa3b4e000173d486,APPROVED,2022-07-03 14:25:48.010000,2022-07-03 14:48:03.629000,1335.619,29,183,1,100,2022-07-03 15:04:57.780000,49E292D8,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
62c1aadaddc664e13b62fcb5,5dcca657854936945d68eaa9,APPROVED,2022-07-03 14:42:34.006000,2022-07-03 15:04:31.297000,1317.291,50,2417,0,100,2022-07-03 15:04:57.661000,49E292D8,United States,United States,Full-Time,English,United States,Female,DATA EXPIRED
62c1aae54c4a9c7963a3157b,5b5c8d4e10aec90001ed4bee,APPROVED,2022-07-03 14:42:50.164000,2022-07-03 14:57:53.683000,903.519,23,2456,3,100,2022-07-03 15:04:56.780000,49E292D8,United States,United States,Full-Time,English,United States,Female,No
62c1acf3a0b90f1c9651e7e6,5f42ac74bac9f24a6091bd27,APPROVED,2022-07-03 14:51:34.268000,2022-07-03 15:04:49.805000,795.537,29,601,0,100,2022-07-03 15:04:56.352000,49E292D8,United States,United States,Part-Time,English,United States,Female,No
62c1ae7eefaabd756ebecc55,61098efe1c7dcf4133162908,APPROVED,2022-07-03 14:58:49.380000,2022-07-03 15:42:02.744000,2593.364,22,112,0,100,2022-07-03 16:55:08.656000,49E292D8,United States,United States,Part-Time,English,United States,Female,Yes
