session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
62b48f100593217b0a377cde,6047ce1fc717c2078388a26c,APPROVED,2022-06-23 16:04:35.255000,2022-06-23 16:35:27.509000,1852.254,28,170,2,99,2022-06-23 16:55:39.629000,49E292D8,United States,United States,Unemployed (and job seeking),English,United States,Female,Yes
62b49f01fe16f2d5ba4b2745,60130d613d3ca613b04d39bb,RETURNED,2022-06-23 17:13:04.951000,,1470829.006399,22,555,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62b49f250b8ab365fb4d832d,60674e08ad872b4cd378a9df,APPROVED,2022-06-23 17:13:12.811000,2022-06-23 17:34:19.853000,1267.042,55,875,1,100,2022-06-23 18:57:02.659000,49E292D8,United States,United States,Full-Time,English,United States,Female,No
62b4a072eb4b3c510db81758,5e58376293597e044d5af47a,APPROVED,2022-06-23 17:18:45.570000,2022-06-23 17:34:15.611000,930.041,39,2309,5,100,2022-06-23 17:36:07.894000,49E292D8,United States,United States,DATA EXPIRED,English,United States,Female,No
62b4a11b64a86a64bcd4da15,5df4ed2eae7b303760a9d47c,APPROVED,2022-06-23 17:21:35.754000,2022-06-23 17:44:23.823000,1368.069,51,1723,1,100,2022-06-23 18:57:02.206000,49E292D8,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
62b4a12ab02e03d1a426e21c,62a489a999690e9aaf9dc159,APPROVED,2022-06-23 17:21:51.420000,2022-06-23 17:42:03.553000,1212.133,61,85,1,100,2022-06-23 18:57:02.070000,49E292D8,United States,United States,DATA EXPIRED,English,United States,Female,No
62b4b7a2337f5074658d241b,594a9305647e0600014f7c3d,APPROVED,2022-06-23 18:57:38.178000,2022-06-23 19:10:34.963000,776.785,33,2401,5,100,2022-06-23 19:54:01.962000,49E292D8,United States,United States,DATA EXPIRED,English,United States,Female,No
62b4b7ba1585baf27a66175f,62b221c49bc98c02c5484b33,APPROVED,2022-06-23 18:58:08.401000,2022-06-23 19:28:06.512000,1798.111,34,43,0,100,2022-06-23 19:54:02.776000,49E292D8,United States,United States,DATA EXPIRED,English,United States,Female,Yes
62b4b7c5da33114ef9abd26a,55c784b8fdf99b479e522427,RETURNED,2022-06-23 18:58:21.117000,,1464512.924628,41,488,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62b4b7d9dc9d9e3054464060,5aebb2f6aa05510001ff6561,APPROVED,2022-06-23 18:58:36.224000,2022-06-23 19:28:27.937000,1791.713,27,1133,9,99,2022-06-23 19:54:03.888000,49E292D8,United States,United States,Unemployed (and job seeking),English,United States,Female,No
62b4b7da236c654361759cee,60fd07af32cee8d5283ae8fb,APPROVED,2022-06-23 18:58:44.279000,2022-06-23 19:20:11.803000,1287.524,19,99,1,100,2022-06-23 19:54:04.317000,49E292D8,United States,United States,Part-Time,English,United States,Female,Yes
62b4b95039876f2f8a4b2777,5ef42ba59401801d9f859e2d,APPROVED,2022-06-23 19:04:51.230000,2022-06-23 19:57:14.558000,3143.328,39,1079,1,100,2022-06-23 21:10:04.700000,49E292D8,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
62b4c4ef9c38c09ab6d4da1c,5f0632802b566a17e81a5f5f,APPROVED,2022-06-23 19:54:27.644000,2022-06-23 20:09:42.303000,914.659,52,2261,6,100,2022-06-23 21:10:06.253000,49E292D8,United States,United States,Unemployed (and job seeking),English,United States,Female,No
62b4c4efc6dd12bb6ec247df,62a5735bb7e7a3d72e2dc1bd,RETURNED,2022-06-23 19:54:25.840000,,1461148.269269,28,28,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62b4c4f7b7250f8f238371d3,5d9eb6d611b7c400172aa975,APPROVED,2022-06-23 19:54:36.894000,2022-06-23 20:15:34.135000,1257.241,43,1912,4,100,2022-06-23 21:10:06.717000,49E292D8,United States,United States,Part-Time,English,United States,Female,No
62b4c4ffc23359e97030f125,5ee517175fd9cf23b3b7b7ec,APPROVED,2022-06-23 20:19:25.341000,2022-06-23 21:10:10.095000,3044.754,26,2828,16,99,2022-06-23 21:10:10.306000,Manual Completion,United States,United States,Full-Time,English,United States,Male,No
62b4c4ffe78cc21dcdfd523c,62b347618b52904682bf1ca7,APPROVED,2022-06-23 19:55:24.529000,2022-06-23 20:11:40.632000,976.103,19,71,0,100,2022-06-23 21:10:08.709000,49E292D8,United States,United States,Part-Time,English,United States,Male,Yes
62b4c51f8577c418d48438c3,6108716bd7e84ed9917914ac,APPROVED,2022-06-23 19:55:15.300000,2022-06-23 20:09:49.130000,873.83,21,228,2,98,2022-06-23 21:10:07.969000,49E292D8,United States,United States,Part-Time,English,United States,Female,Yes
